AEA,COUNTY,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,PK,KG,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total K12,Total PK12,Hispanic Male,Hispanic Female,Hispanic Total,Native American Male,Native American Female,Native American Total,Asian Male,Asian Female,Asian Total,Black Male,Black Female,Black Total,Pacific Islander Male,Pacific Islander Female,Pacific Islander Total,White Male,White Female,White Total,Multi-Race Male,Multi-Race Female,Multi-Race Total,Total Male,Total Female
07,42,Hardin,9,AGWSR,75,52,29,61,48,44,45,52,47,47,45,38,28,45,581,656,26,26,52,0,0,0,1,1,2,0,0,0,0,0,0,301,290,591,5,6,11,333,323
11,39,Guthrie,18,Adair-Casey,18,22,21,16,19,16,20,16,52,58,0,0,0,0,240,258,5,6,11,0,0,0,0,1,1,0,1,1,2,0,2,136,104,240,2,1,3,145,113
11,25,Dallas,27,Adel DeSoto Minburn,41,169,144,165,151,155,153,150,155,137,124,137,130,114,1884,1925,26,35,61,3,2,5,4,12,16,3,1,4,0,0,0,920,885,1805,20,14,34,976,949
12,75,Plymouth,63,Akron Westfield,35,58,37,47,44,49,42,55,48,45,49,41,51,38,604,639,24,21,45,3,2,5,0,2,2,3,1,4,2,1,3,287,273,560,9,11,20,328,311
05,11,Buena Vista,72,Albert City-Truesdale,14,21,15,11,8,17,10,15,0,0,0,0,0,0,97,111,9,7,16,0,0,0,0,0,0,0,0,0,0,0,0,51,42,93,1,1,2,61,50
15,68,Monroe,81,Albia,59,87,64,80,77,93,96,91,101,89,100,99,86,76,1139,1198,26,18,44,1,2,3,0,2,2,10,10,20,0,0,0,556,519,1075,27,27,54,620,578
10,57,Linn,99,Alburnett,57,57,43,36,47,58,54,60,53,44,50,53,46,53,654,711,9,4,13,0,0,0,0,0,0,7,2,9,0,0,0,366,311,677,6,6,12,388,323
07,42,Hardin,108,Alden,32,28,10,22,20,28,18,12,0,0,0,0,0,0,138,170,6,7,13,0,0,0,0,0,0,1,0,1,0,0,0,67,78,145,4,7,11,78,92
05,55,Kossuth,126,Algona,108,125,93,90,93,98,88,116,124,113,109,105,105,112,1371,1479,36,40,76,1,0,1,11,7,18,7,10,17,2,1,3,705,644,1349,5,10,15,767,712
01,3,Allamakee,135,Allamakee,79,87,57,70,79,73,79,81,96,90,78,115,83,82,1070,1149,9,17,26,1,1,2,2,7,9,6,6,12,0,0,0,580,510,1090,5,5,10,603,546
07,12,Butler,153,North Butler,36,52,39,35,35,46,57,52,40,44,50,36,33,57,576,612,8,6,14,0,0,0,1,1,2,1,0,1,0,0,0,313,278,591,3,1,4,326,286
05,11,Buena Vista,171,Alta-Aurelia,63,105,58,54,67,53,53,54,51,58,52,54,56,49,764,827,74,77,151,0,0,0,2,2,4,6,7,13,1,2,3,327,312,639,9,8,17,419,408
11,85,Story,225,Ames,341,413,330,344,352,364,357,370,340,330,374,318,334,358,4584,4925,215,217,432,7,4,11,221,238,459,255,191,446,4,1,5,1655,1615,3270,156,146,302,2513,2412
10,53,Jones,234,Anamosa,83,84,56,74,80,78,97,96,118,102,105,101,105,92,1188,1271,16,11,27,1,1,2,7,12,19,9,11,20,0,0,0,629,552,1181,10,12,22,672,599
09,49,Jackson,243,Andrew,38,21,27,19,12,13,17,7,15,3,0,0,0,0,134,172,1,2,3,0,0,0,0,0,0,1,2,3,4,1,5,84,77,161,0,0,0,90,82
11,77,Polk,261,Ankeny,408,950,951,956,931,916,977,910,910,902,883,839,807,787,11719,12127,342,322,664,7,6,13,163,162,325,164,140,304,6,6,12,5201,5039,10240,290,279,569,6173,5954
07,12,Butler,279,Aplington-Parkersburg,83,78,63,66,46,62,67,61,54,67,54,55,71,55,799,882,6,6,12,0,0,0,0,1,1,4,3,7,0,0,0,429,418,847,8,7,15,447,435
05,32,Emmet,333,North Union,19,19,20,18,21,28,28,0,0,0,53,57,54,38,336,355,14,9,23,0,0,0,2,0,2,0,1,1,0,0,0,155,165,320,4,5,9,175,180
12,24,Crawford,355,Ar-We-Va,15,21,14,15,17,14,18,19,12,15,16,16,16,12,205,220,17,25,42,1,1,2,0,0,0,2,1,3,0,0,0,92,78,170,2,1,3,114,106
13,15,Cass,387,Atlantic,95,133,100,95,103,103,118,119,102,117,87,113,100,95,1385,1480,42,33,75,2,0,2,1,0,1,7,5,12,14,14,28,700,648,1348,6,8,14,772,708
11,5,Audubon,414,Audubon,42,43,33,46,39,45,40,40,37,35,33,41,40,30,502,544,7,10,17,0,0,0,0,1,1,1,4,5,1,1,2,268,235,503,8,8,16,285,259
13,78,Pottawattam,441,AHSTW,59,53,48,50,47,53,55,53,55,44,51,55,60,58,682,741,13,15,28,0,2,2,2,2,4,2,1,3,0,0,0,344,341,685,6,13,19,367,374
11,85,Story,472,Ballard,146,154,108,130,121,152,118,135,108,118,116,145,142,132,1679,1825,20,17,37,4,7,11,1,2,3,16,14,30,2,4,6,891,830,1721,9,8,17,943,882
